"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.avectaubira.fr/51.158.73.110","443","INFO","-----BEGIN CERTIFICATE----- MIIGNTCCBR2gAwIBAgISBCl9/K3yPl0GtlDzRuQsdUzGMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjAxMTUwNjUzNTJaFw0yMjA0MTUwNjUzNTFaMBkxFzAVBgNVBAMT DmF2ZWN0YXViaXJhLmZyMIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEA wRfaSt0s5U5UTLLC+gsSROC/PFSdQvgYOjPPmBLV0t2GAFXBoh4SL2QlA2IKyOhg 9rFh4gQEnbkQUyUTKjpm9/Ott+nyDOJlm5l9M+n0jGO6LzJNYdCOqEoZEplv1C7Z Mlgkyb314MjfSidQ7oba0VyVZepaKQ6VJFsuWnCKF1kIJxyV/0fkfmhhciIpVfH4 gpgEZliVPQKJlP5tMS/bXot9w5gvuv1RV5e9FC54k26DLBbceFVXYWfp/K40BaZZ hIxCdeNTtwj23jdffmO6JruCqFS3NcWAR/o+zGyLLWbadtyl6gNQguY5d2a1WAcD zzHgjKFVDo00AyZUzRg0KikYr2ZChUSqzxPnFQOMqfGdrd4xSy7LyO+x7hkRJWkT nWvBQPfSjpequnqMIPVwe1cP84GZJJuVl2SfN5Oss7TNIEpVheh/QRZeekbue/pB ZD9CTtTuppAjLneU805GwDjMmoWxuxaMm/MHyfqCyh83YucQdyjIVXuX4K8U6zz6 8snjgfgx3aTdes39v67U+oirHzKquB9g4RUVVT6DOa8nJUSHcp7LUJaQZheSF7d4 S2HRbVXgduXZ26hP97mBePU1osn8p+AU77Px3m9Cx4dBiWIvjKL+BDz+yUtVNDS+ yXRh5TCjigZSQZgKQVJ9nrl0z2QCt+yxPP6tl/+cuKMCAwEAAaOCAlwwggJYMA4G A1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYD VR0TAQH/BAIwADAdBgNVHQ4EFgQURds4IbAKh/PN2X6jFQ9KXNDvuSQwHwYDVR0j BBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsG AQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6 Ly9yMy5pLmxlbmNyLm9yZy8wLQYDVR0RBCYwJIIOYXZlY3RhdWJpcmEuZnKCEnd3 dy5hdmVjdGF1YmlyYS5mcjBMBgNVHSAERTBDMAgGBmeBDAECATA3BgsrBgEEAYLf EwEBATAoMCYGCCsGAQUFBwIBFhpodHRwOi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCC AQMGCisGAQQB1nkCBAIEgfQEgfEA7wB1AEHIyrHfIkZKEMahOglCh15OMYsbA+vr S8do8JBilgb2AAABfly6e9cAAAQDAEYwRAIgVwGJjrOoqrfFTY2C+Rt9IZFJ0/PH sjoBVijr+kS8WfoCICCYB9EHynwNCDluZbDXG1Z1xUK3PqNh/wAUYqIkR54BAHYA RqVV63X6kSAwtaKJafTzfREsQXS+/Um4havy/HD+bUcAAAF+XLp75QAABAMARzBF AiBvRWjXEnnBmGNfPfaILXREcb/XB/e2yjA9adsUzV4G6AIhAK76CNMC9M2xI036 krb9Rr4svKeNussnk7uu3BT8mO4/MA0GCSqGSIb3DQEBCwUAA4IBAQAHE8a+Q4iq E+POzdla14WHDDJFDX73d4B+Po7NZ+1Qz3FzjRAm8fVA8kVxbsFHJsmSj3YijOHe U1i1cLihJX5XK7PnvVbYj9lLV1E1g2nr/ts93uVLSGbB0cAdr7itMjO+vnRZQE7e ylr4hI3UitE1PBSYWbxDcgAfU+fuUJW4S3ydI49ukTcmGF90Pwm10dpRsYiEQUE7 GBguNkCKsTBEfyo0uVl7N18qIXs4iYnQrmgH17ke9QJTSAYfVq9alPU/VbVjJEYN NKitHtck06eZJ2IgsypXpS3L0iACv4oSaGn23c1H3awN/VAQZmXAhXWD/MxT4/rG DFZqvscMKa93 -----END CERTIFICATE-----","",""
"cert_commonName","www.avectaubira.fr/51.158.73.110","443","OK","avectaubira.fr","",""
"cert_commonName_wo_SNI","www.avectaubira.fr/51.158.73.110","443","INFO","request.is.invalid","",""
"cert_subjectAltName","www.avectaubira.fr/51.158.73.110","443","INFO","avectaubira.fr www.avectaubira.fr","",""
"cert_trust","www.avectaubira.fr/51.158.73.110","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.avectaubira.fr/51.158.73.110","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.avectaubira.fr/51.158.73.110","443","INFO","no","",""
"cert_expirationStatus","www.avectaubira.fr/51.158.73.110","443","OK","61 >= 30 days","",""
"cert_notBefore","www.avectaubira.fr/51.158.73.110","443","INFO","2022-01-15 06:53","",""
"cert_notAfter","www.avectaubira.fr/51.158.73.110","443","OK","2022-04-15 06:53","",""
