"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","laremontada.fr/46.252.181.104","443","INFO","-----BEGIN CERTIFICATE----- MIIFITCCBAmgAwIBAgISA+EN04Lq/9BaEmu8fi8r7ssgMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTExMDIwOTA2MDNaFw0yMjAxMzEwOTA2MDJaMBkxFzAVBgNVBAMT DmxhcmVtb250YWRhLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA pFKkadHgJRpeqK8q2sHFXPED3gLLiy282R0h7sjKH0BDxHGTAqQYb2f3ewVooRao xqG9Aa+UV51qKpeIPXdsLrl+kqiM/0m9GXdnwj/Nc7CbduXNtZS/nbFip3vXWN3f Llr+UGav/1sTv1MWdooAQV666uq4ZiClX7CpTlOPt3RDnEYLzLCQcpdg1JkeB62/ Q0rVDvnXUe/5SuHXs0ycgjT/hBokRED6EaeVtH0cS9cKJs63cclwxeAW+k2wIZ+K 9UZXukc5v/gWVXdtMgkvDyRsfwd16olMfjwQ8FrCD4iWCajBPhltNVDfiQniCog/ UnB3tBi31TzV91GEA+V92wIDAQABo4ICSDCCAkQwDgYDVR0PAQH/BAQDAgWgMB0G A1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1Ud DgQWBBQkQBZgy3bkC5Rx6Bxb2FZhGm2zJzAfBgNVHSMEGDAWgBQULrMXt1hWy65Q CUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9y My5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3Jn LzAZBgNVHREEEjAQgg5sYXJlbW9udGFkYS5mcjBMBgNVHSAERTBDMAgGBmeBDAEC ATA3BgsrBgEEAYLfEwEBATAoMCYGCCsGAQUFBwIBFhpodHRwOi8vY3BzLmxldHNl bmNyeXB0Lm9yZzCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB1AEalVet1+pEgMLWi iWn0830RLEF0vv1JuIWr8vxw/m1HAAABfOAc6ksAAAQDAEYwRAIgD/4c/EZJavyt q6cOIu0qmvG9XdOr0WA3UkSDvv85blACIFoE6R6aF8hD6XJ1JhSAptCR/p7AL6mS QWkkf5D+mgx+AHYAb1N2rDHwMRnYmQCkURX/dxUcEdkCwQApBo2yCJo32RMAAAF8 4Bzr4wAABAMARzBFAiBYT1qEQWflBS4HKFGkVF6bLBVOH2fQFZVw3jrVxkgA0QIh AI1j8NAJSRbH2pfQ2MlbCgec043/sI9GQt/CQjzeExCIMA0GCSqGSIb3DQEBCwUA A4IBAQABocigMfwtzk8AGqZ9YxZR0HlU8qABFJiGKuEpzPdmVkqQ1Zh7Td4VABPa GNHar2A299NzkNuaxI6VIkJTQ8fzLI80HAKh+bLbN//5AIQFLxZRoKbbE2zs4cgq Uu+rlClclV/Hu2NWS4/y3KGHRcM8nHJ06Vqwt10pDmD1NHAYw6dESTtxtWRVi7yo jJ8lxWeAz0M5sAor9qOUnYnK4lTDvQKsdtVJ62+NBH+/A+1VxqaO/tJPSIMPxP1a JiDkvHAdsWV4zYlWvaBBJTDzS/U0y+7mwyTV2lfpuW6nlmjLfyH6Ry4vxMeRavr+ qJMyhqEVeWnUFKeoo8Ue4NnAb7Hg -----END CERTIFICATE-----","",""
"cert_commonName","laremontada.fr/46.252.181.104","443","OK","laremontada.fr","",""
"cert_commonName_wo_SNI","laremontada.fr/46.252.181.104","443","INFO","lolcatho.st","",""
"cert_subjectAltName","laremontada.fr/46.252.181.104","443","INFO","laremontada.fr","",""
"cert_trust","laremontada.fr/46.252.181.104","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","laremontada.fr/46.252.181.104","443","OK","passed.","",""
"cert_certificatePolicies_EV","laremontada.fr/46.252.181.104","443","INFO","no","",""
"cert_expirationStatus","laremontada.fr/46.252.181.104","443","OK","64 >= 30 days","",""
"cert_notBefore","laremontada.fr/46.252.181.104","443","INFO","2021-11-02 09:06","",""
"cert_notAfter","laremontada.fr/46.252.181.104","443","OK","2022-01-31 09:06","",""
"cert_extlifeSpan","laremontada.fr/46.252.181.104","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","laremontada.fr/46.252.181.104","443","INFO","not present","",""
"cert_crlDistributionPoints","laremontada.fr/46.252.181.104","443","INFO","--","",""
"cert_ocspURL","laremontada.fr/46.252.181.104","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","laremontada.fr/46.252.181.104","443","LOW","not offered","",""
"cert_mustStapleExtension","laremontada.fr/46.252.181.104","443","INFO","--","",""
"DNS_CAArecord","laremontada.fr/46.252.181.104","443","LOW","--","",""
"certificate_transparency","laremontada.fr/46.252.181.104","443","OK","yes (certificate extension)","",""
"certs_countServer","laremontada.fr/46.252.181.104","443","INFO","3","",""
"certs_list_ordering_problem","laremontada.fr/46.252.181.104","443","INFO","no","",""
"cert_caIssuers","laremontada.fr/46.252.181.104","443","INFO","R3 (Let's Encrypt from US)","",""
